cell_x_m,cell_y_m,count
199727.66401520075,1762565.5185298186,9
197727.66401520075,1763565.5185298186,9
205727.66401520075,1783565.5185298186,9
211727.66401520075,1760565.5185298186,9
193727.66401520075,1767565.5185298186,9
192727.66401520075,1761565.5185298186,9
207727.66401520075,1762565.5185298186,9
198727.66401520075,1756565.5185298186,9
212727.66401520075,1763565.5185298186,9
205727.66401520075,1750565.5185298186,9
189727.66401520075,1747565.5185298186,9
190727.66401520075,1774565.5185298186,9
209727.66401520075,1750565.5185298186,9
192727.66401520075,1773565.5185298186,9
208727.66401520075,1754565.5185298186,9
192727.66401520075,1763565.5185298186,9
190727.66401520075,1785565.5185298186,9
194727.66401520075,1752565.5185298186,8
203727.66401520075,1766565.5185298186,8
210727.66401520075,1760565.5185298186,8
199727.66401520075,1776565.5185298186,8
215727.66401520075,1754565.5185298186,8
201727.66401520075,1757565.5185298186,8
213727.66401520075,1751565.5185298186,8
207727.66401520075,1782565.5185298186,8
202727.66401520075,1784565.5185298186,8
191727.66401520075,1760565.5185298186,8
215727.66401520075,1743565.5185298186,8
191727.66401520075,1769565.5185298186,8
191727.66401520075,1781565.5185298186,8
195727.66401520075,1771565.5185298186,8
194727.66401520075,1766565.5185298186,8
200727.66401520075,1751565.5185298186,7
210727.66401520075,1782565.5185298186,7
203727.66401520075,1758565.5185298186,7
211727.66401520075,1748565.5185298186,7
197727.66401520075,1769565.5185298186,7
197727.66401520075,1768565.5185298186,7
193727.66401520075,1772565.5185298186,7
189727.66401520075,1777565.5185298186,7
199727.66401520075,1756565.5185298186,7
196727.66401520075,1771565.5185298186,7
192727.66401520075,1784565.5185298186,7
209727.66401520075,1757565.5185298186,7
214727.66401520075,1754565.5185298186,7
207727.66401520075,1763565.5185298186,7
189727.66401520075,1781565.5185298186,7
190727.66401520075,1773565.5185298186,7
205727.66401520075,1756565.5185298186,6
207727.66401520075,1781565.5185298186,6
210727.66401520075,1764565.5185298186,6
207727.66401520075,1766565.5185298186,6
210727.66401520075,1751565.5185298186,6
203727.66401520075,1760565.5185298186,6
213727.66401520075,1754565.5185298186,6
210727.66401520075,1753565.5185298186,6
195727.66401520075,1772565.5185298186,6
198727.66401520075,1766565.5185298186,6
204727.66401520075,1782565.5185298186,6
207727.66401520075,1757565.5185298186,6
209727.66401520075,1762565.5185298186,6
190727.66401520075,1787565.5185298186,6
189727.66401520075,1775565.5185298186,6
204727.66401520075,1763565.5185298186,6
207727.66401520075,1755565.5185298186,6
192727.66401520075,1769565.5185298186,6
193727.66401520075,1764565.5185298186,6
201727.66401520075,1751565.5185298186,6
200727.66401520075,1765565.5185298186,6
203727.66401520075,1757565.5185298186,5
213727.66401520075,1744565.5185298186,5
198727.66401520075,1765565.5185298186,5
198727.66401520075,1755565.5185298186,5
195727.66401520075,1758565.5185298186,5
211727.66401520075,1781565.5185298186,5
202727.66401520075,1767565.5185298186,5
195727.66401520075,1761565.5185298186,5
198727.66401520075,1757565.5185298186,5
199727.66401520075,1757565.5185298186,5
202727.66401520075,1754565.5185298186,5
212727.66401520075,1752565.5185298186,5
202727.66401520075,1749565.5185298186,5
190727.66401520075,1745565.5185298186,5
191727.66401520075,1774565.5185298186,5
214727.66401520075,1753565.5185298186,5
195727.66401520075,1752565.5185298186,5
195727.66401520075,1766565.5185298186,5
200727.66401520075,1761565.5185298186,5
209727.66401520075,1782565.5185298186,5
200727.66401520075,1758565.5185298186,5
195727.66401520075,1768565.5185298186,5
